JADWAL PERKULIAHAN SEMESTER GANJIL 2024/2025 ANGKATAN 2022,,,,,,,,,
,,,,,,,,,
Kelas: TI22A (Regular),,Artificial Intelligence Class,,,,,,,
Kurikulum,Kode,Mata Kuliah,SKS,Hari,Jam,Ruang,Dosen,,
2023,IF31025,Computer Vision,2,Kamis,10.30 - 12.10,Offline / Cek Siakad,"Ivana Lucia Kharisma, M.Kom",,
2023,IF31026,Data Science,2,Kamis,08.00 -09.40,,"Gina Purnama Insany, S.SiT.,M.Kom",,
2023,IF31027,Deep Learning,2,Rabu,08.00 - 09.40,,"Ivana Lucia Kharisma, M.Kom",,
2023,IF12008,Basis Data,3,Rabu,13.00 - 15.30,,"Dede Sukmawan, M.Kom",,
2023,IF31035,Proyek Perangkat Lunak,3,Kamis,13.00 - 15.30,,"Anggun Fergina, M.Kom",,
2023,IF31036,Metodologi Penelitian,3,Selasa,16.00 - 18.30,,Dr. Yurman Zaenal,,
2023,IF31037,Etika Profesi,2,Jumat,16.00 - 17.40,,Dr. Deni Hasman,,
2023,IF31038,Pengolahan Citra Digital,3,Kamis,16.00 - 18.30,,"Alun Sujjada, S.Kom, MT",,
,,,,,,,,,
Kelas : TI22E (Regular),,Artificial Intelligence Class,,,,,,,
Kurikulum,Kode,Mata Kuliah,SKS,Hari,Jam,Ruang,Dosen,,
2023,IF31025,Computer Vision,2,Kamis,08.00 - 09.40,Offline / Cek Siakad,"Ivana Lucia Kharisma, M.Kom",,
2023,IF31026,Data Science,2,Kamis,13.00 - 14.40,,"Gina Purnama Insany, S.SiT.,M.Kom",,
2023,IF31027,Deep Learning,2,Rabu,10.30 - 12.10,,"Ivana Lucia Kharisma, M.Kom",,
2023,IF12008,Basis Data,3,Selasa,16.00 - 18.30,,"Falentino Sembiring, M.Kom",,
2023,IF31035,Proyek Perangkat Lunak,3,Kamis,10.30 - 13.00,,"Anggun Fergina, M.Kom",,
2023,IF31036,Metodologi Penelitian,3,Senin,16.00 -18.30,,Dr. Nurkhan,,
2023,IF31037,Etika Profesi,2,Rabu,13.00 - 14.40 (online),,"Dr. Iwan Setiawan, S.T., M.T",,
2023,IF31038,Pengolahan Citra Digital,3,Rabu,16.00 - 18.30,,"Alun Sujjada, S.Kom, MT",,
,,,,,,,,,
Kelas : TI22F (Regular),,Software Engineering Class,,,,,,,
Kurikulum,Kode,Mata Kuliah,SKS,Hari,Jam,Ruang,Dosen,,
2023,IF31032,Pengembangan Aplikasi Berbasis Web,2,Rabu,16.00 - 17.40,Offline / Cek Siakad,"Anggun Fergina, M.Kom",,
2023,IF31033,Pemrograman Perangkat Mobile,2,Rabu,13.00 - 14.40,,"Nugraha, M.kom",,
2023,IF31031,Sistem Informasi Geografis,2,Selasa,08.00 - 09.40,,"M.Ikhsan Thohir, M.Kom",,
2023,IF12008,Basis Data,3,Kamis,16.00 - 18.30,,"Dede Sukmawan, M.Kom",,
2023,IF31035,Proyek Perangkat Lunak,3,Selasa,16.00 - 18.30 (online),,"Indra Yustiana, S.T., M.Kom",,
2023,IF31036,Metodologi Penelitian,3,Jumat,16.00 - 18.30,,"Gina Purnama Insany, S.SiT.,M.Kom",,
2023,IF31037,Etika Profesi,2,Jumat,13.00 - 14.40 (online),,"Dr. Iwan Setiawan, S.T., M.T",,
2023,IF31038,Pengolahan Citra Digital,3,Kamis,13.00 - 15.30,,"Moneyta Dholah Rosita, M.Kom",,
,,,,,,,,,
Kelas : TI22H(Regular),,Software Engineering Class,,,,,,,
Kurikulum,Kode,Mata Kuliah,SKS,Hari,Jam,Ruang,Dosen,,
2023,IF31032,Pengembangan Aplikasi Berbasis Web,2,Kamis,16.00 -17.40,Offline / Cek Siakad,"Anggun Fergina, M.Kom",,
2023,IF31033,Pemrograman Perangkat Mobile,2,Rabu,10.30 - 12.10,,"Nugraha, M.Kom",,
2023,IF31031,Sistem Informasi Geografis,2,Selasa,10.30 - 12.10,,"M.Ikhsan Thohir, M.Kom",,
2023,IF12008,Basis Data,3,Kamis,13.00 - 15.30,,"Dede Sukmawan, M.Kom",,
2023,IF31035,Proyek Perangkat Lunak,3,Rabu,13.00 - 15.30 (online),,"Harris Al Qodri Maarif, S.T., M.Sc. P. hD",,
2023,IF31036,Metodologi Penelitian,3,Selasa,13.00 - 15.30 (online),,"Dr. Iwan Setiawan, S.T., M.T",,
2023,IF31037,Etika Profesi,2,Jumat,14.00 - 15.40,,Dr. Deni Hasman,,
2023,IF31038,Pengolahan Citra Digital,3,Selasa,16.00 - 18.30,,"Moneyta Dholah, M.Kom",,
,,,,,,,,,
Kelas : TI22J(Regular),,Computer Networking Class,,,,,,,
Kurikulum,Kode,Mata Kuliah,SKS,Hari,Jam,Ruang,Dosen,,
2023,IF31028,Cyber Security,2,Kamis,08.00 - 09.40,Offline / Cek Siakad,"Ir. Somantri S.T., M.Kom",,
2023,IF31029,Teknologi Blockchain,2,Selasa,13.00 - 14.40,,"Falentino Sembiring, M.Kom",,
2023,IF31030,Big Data Architecture and Infrastructure,2,Selasa,10.30 - 12.10,,"Ir. Somantri S.T., M.Kom",,
2023,IF12008,Basis Data,3,Rabu,08.00 - 10.30,,"Anggun Fergina, M.Kom",,
2023,IF31035,Proyek Perangkat Lunak,3,Kamis,13.00 - 15.30 (online),,"Dr. Iwan Setiawan, S.T., M.T",,
2023,IF31036,Metodologi Penelitian,3,Selasa,16.00 - 18.30,,"Gina Purnama Insany, S.Si.T., M.Kom",,
2023,IF31037,Etika Profesi,2,Rabu,16.00 - 17.40 (online),,"Harris Al Qodri Maarif, S.T., M.Sc. P. hD",,
2023,IF31038,Pengolahan Citra Digital,3,Jumat,16.00 - 18.30,,"Alun Sujjada, S.Kom, MT",,
,,,,,,,,,
Kelas : TI22I(International),,Artificial Intelligence Class,,,,,,,
Kurikulum,Kode,Mata Kuliah,SKS,Hari,Jam,Ruang,Dosen,,
2023,IF31025,Computer Vision,2,Senin,08.00 - 09.40,Offline / Cek Siakad,"Ivana Lucia Kharisma, M.Kom",,
2023,IF31026,Data Science,2,Selasa,10.30 - 12.10,,Dr. Huang Gan,,
2023,IF31027,Deep Learning,2,Selasa,13.00 - 14.40,,Dr. Huang Gan,,
2023,IF12008,Basis Data,3,Kamis,16.00 - 18.30,,"Falentino Sembiring, M.Kom",,
